,16/01/2020,23/07/2020,30/07/2020,14/10/2020,02/12/2020
Altitude,Time,Time,Time,Time,Time
0,0,0,0,0,0
5,42,27,14,27,24
10,58,43,28,43,49
15,71,55,33,55,73
20,81,65,38,65,84
25,90,75,45,75,92
30,98,84,48,84,101
35,104,93,52,93,107
40,110,102,55,102,113
45,116,111,60,111,118
50,121,121,62,121,124
55,127,131,65,130,130
60,132,141,68,141,136
65,137,152,71,152,142
70,143,163,75,164,148
75,149,175,77,175,154
80,155,187,80,189,160
90,0,0,0,0,0
100,0,0,0,0,0
110,0,0,0,0,0
120,0,0,0,0,0
130,0,0,0,0,0
140,0,0,0,0,0
150,0,0,0,0,0
160,0,0,0,0,0
170,0,0,0,0,0
180,0,0,0,0,0
190,0,0,0,0,0
200,0,0,0,0,0
