Date,URL,,t_meco,alt_meco,t_sei_seco,alt_sei,alt_seco
07/01/2020,https://www.youtube.com/watch?v=HwyXo6T7jC4,0,157,63.8,365,74.2,168
29/01/2020,https://www.youtube.com/watch?v=1KmBDCiL7MU,0,157,63.8,371,74.4,168
17/02/2020,https://www.youtube.com/watch?v=8xeX62mLcf8 ,0,156,67.5,366,79.6,216
07/03/2020,https://www.youtube.com/watch?v=1MkcWK2PnsU,0,143,62.9,364,74.5,207
18/03/2020,https://www.youtube.com/watch?v=I4sMhHbHYXM,0,156,67.9,366,80.9,213
22/04/2020,https://www.youtube.com/watch?v=wSge0I7pwFI,0,156,67.7,371,79.2,216
30/05/2020,https://www.youtube.com/watch?v=xY96v0OIcK4,0,157,78.3,363,91.3,197
04/06/2020,https://www.youtube.com/watch?v=y4xBFHjkUvw,0,156,67,371,79.3,216
13/06/2020,https://www.youtube.com/watch?v=8riKQXChPGg,0,156,67.8,371,79.8,216
30/06/2020,https://www.youtube.com/watch?v=6zr0nfG3Xy4,957,155,66.9,329,77.5,168
20/07/2020,https://www.youtube.com/watch?v=TshvZlQ7le8,0,158,65.6,325,74.8,164
07/08/2020,https://www.youtube.com/watch?v=KU6KogxG5BE,0,157,63.8,367,74.2,170
18/08/2020,https://www.youtube.com/watch?v=jTMJK7wb0rM,0,156,66.4,362,78.8,215
30/08/2020,https://www.youtube.com/watch?v=P-gLOsDjE3E,0,140,71.5,457,88.5,608
03/09/2020,https://www.youtube.com/watch?v=_j4xR7LMCGY,0,156,66.3,367,77.9,216
06/10/2020,https://www.youtube.com/watch?v=W0MGgQZIYNk,892,156,64.3,362,74.4,168
24/10/2020,https://www.youtube.com/watch?v=2gbVgTxLgN0,844,156,63.5,373,73.5,168
05/11/2020,https://www.youtube.com/watch?v=wufXF5YKR1M,1133,155,65.8,329,77.2,168
25/11/2020,https://www.youtube.com/watch?v=J442-ti-Dhg,891,161,71.5,369,82.5,216
06/12/2020,https://www.youtube.com/watch?v=4xJAGFR_N-c,1258,155,69.2,359,80,198
13/12/2020,https://www.youtube.com/watch?v=COraGXFb1lo,1038,157,63.3,332,73.8,164
