Date,URL
07/01/2020,https://www.youtube.com/watch?v=HwyXo6T7jC4
29/01/2020,https://www.youtube.com/watch?v=1KmBDCiL7MU
17/02/2020,https://www.youtube.com/watch?v=8xeX62mLcf8 
07/03/2020,https://www.youtube.com/watch?v=1MkcWK2PnsU
18/03/2020,https://www.youtube.com/watch?v=I4sMhHbHYXM
22/04/2020,https://www.youtube.com/watch?v=wSge0I7pwFI
30/05/2020,https://www.youtube.com/watch?v=xY96v0OIcK4
04/06/2020,https://www.youtube.com/watch?v=y4xBFHjkUvw
13/06/2020,https://www.youtube.com/watch?v=8riKQXChPGg
30/06/2020,https://www.youtube.com/watch?v=6zr0nfG3Xy4
20/07/2020,https://www.youtube.com/watch?v=TshvZlQ7le8
07/08/2020,https://www.youtube.com/watch?v=KU6KogxG5BE
18/08/2020,https://www.youtube.com/watch?v=jTMJK7wb0rM
30/08/2020,https://www.youtube.com/watch?v=P-gLOsDjE3E
03/09/2020,https://www.youtube.com/watch?v=_j4xR7LMCGY
06/10/2020,https://www.youtube.com/watch?v=W0MGgQZIYNk
18/10/2020,https://www.youtube.com/watch?v=UM8CDDAmp98
24/10/2020,https://www.youtube.com/watch?v=2gbVgTxLgN0
05/11/2020,https://www.youtube.com/watch?v=wufXF5YKR1M
21/11/2020,https://www.youtube.com/watch?v=aVFPzTDCihQ
25/11/2020,https://www.youtube.com/watch?v=J442-ti-Dhg
06/12/2020,https://www.youtube.com/watch?v=4xJAGFR_N-c
13/12/2020,https://www.youtube.com/watch?v=COraGXFb1lo
19/12/2020,https://www.youtube.com/watch?v=9OeVwaFBkfE
